ATrainCz.slave;ATrainCz;Management / Transport;A-Train (Czech);A-Train Cz;ATrainCz.info;ATrain_v1.4_Cz.lha
ATrainFr.slave;ATrainFr;Management / Transport;A-Train (French);A-Train Fr;ATrainFr.info;ATrain_v1.4_Fr_2579.lha
ATrainDe.slave;ATrainDe;Management / Transport;A-Train (German);A-Train De;ATrainDe.info;ATrain_v1.4_De_0428.lha
ATrainPl.slave;ATrainPl;Management / Transport;A-Train (Polish);A-Train Pl;ATrainPl.info;ATrain_v1.4_Pl.lha
ACSYSDemoAGA.slave;ACSYSDemoAGA;Action / Shooter / 2D;A.C.SYS - Autonomous Cybernetic System (Game Demo) (AGA);A.C.SYS DemoAA;ACSYSDemoAGA.info;ACSYSDemo_v1.11_AGA.lha
AGE.Slave;AGE;Action / Shooter / 3D;A.G.E. - Advanced Galactic Empire;A.G.E.;AGE.info;AGE_v1.2.lha
ATF2.Slave;ATF2;Action / Shooter / 3D;A.T.F. 2 - Advanced Tactical Fighter;A.T.F. 2;ATF2.info;ATF2_v1.1a_2396.lha
AllTerrainRacing.slave;AllTerrainRacing;Racing / Car / Top Down;A.T.R. - All Terrain Racing;A.T.R. All Terrain Racing;AllTerrainRacing.info;AllTerrainRacing_v1.6.lha
AllTerrainRacingCD32.slave;AllTerrainRacingCD32;Racing / Car / Top Down;A.T.R. - All Terrain Racing (CD32);A.T.R. CD32;AllTerrainRacingCD32.info;AllTerrainRacing_v1.6_CD32.lha
AllTerrainRacingXmasDemo.slave;AllTerrainRacingXmasDemo;Racing / Car / Top Down;A.T.R. - All Terrain Racing (Xmas Edition) (Beta);A.T.R. Xmas Edition ß;AllTerrainRacingXmasDemo.info;AllTerrainRacingXmasDemo_v1.3.lha
AllTerrainRacingXmasDemo.slave;AllTerrainRacingXmasDemo;Racing / Car / Top Down;A.T.R. - All Terrain Racing (Xmas Edition) (Coverdisk);A.T.R. Xmas Edition;AllTerrainRacingXmasDemo.info;AllTerrainRacingXmasDemo_v1.2.lha
A1200DemoAGA.slave;A1200DemoAGA;Demo;A1200 Demo (Complex) (AGA);A1200 Demo AA;A1200DemoAGA.info;A1200Demo_v1.0_Complex_AGA.lha
A320Airbus.slave;A320Airbus;Simulator / Plane;A320 Airbus;A320 Airbus;A320Airbus.info;A320Airbus_v1.3.lha
A320AirbusEditionEuropa.slave;A320AirbusEditionEuropa;Simulator / Plane;A320 Airbus Edition Europa;A320 Airbus Europa;A320AirbusEditionEuropa.info;A320AirbusEditionEuropa_v1.3.lha
A320AirbusEditionUSA.slave;A320AirbusEditionUSA;Simulator / Plane;A320 Airbus Edition USA;A320 Airbus USA;A320AirbusEditionUSA.info;A320AirbusEditionUSA_v1.1.lha
A320AirbusVol2.slave;A320AirbusVol2;Simulator / Plane;A320 Airbus Vol. 2;A320 Airbus Vol. 2;A320AirbusVol2.info;A320AirbusVol2_v1.1_1592.lha
Aaargh!.Slave;Aaargh!;Action / Destruction;Aaargh!;Aaargh!;Aaargh!.info;Aaargh!_v1.0a_0511.lha
Aaargh!Arcadia.Slave;Aaargh!Arcadia;Action / Destruction;Aaargh! (Arcadia);Aaargh! (Arcadia);Aaargh!Arcadia.info;Aaargh!_v0.1_Arcadia.lha
AbandonedPlaces.slave;AbandonedPlaces;RPG / Dungeon Crawler;Abandoned Places;Abandoned Places;AbandonedPlaces.info;AbandonedPlaces_v1.3_1000.lha
AbandonedPlacesDe.slave;AbandonedPlacesDe;RPG / Dungeon Crawler;Abandoned Places (German);Abandoned Places De;AbandonedPlacesDe.info;AbandonedPlaces_v1.3_De_0999.lha
AbandonedPlacesEs.slave;AbandonedPlacesEs;RPG / Dungeon Crawler;Abandoned Places (Spanish);Abandoned Places Es;AbandonedPlacesEs.info;AbandonedPlaces_v1.3_Es.lha
AbandonedPlaces2.Slave;AbandonedPlaces2;RPG / Dungeon Crawler;Abandoned Places 2;Abandoned Places 2;AbandonedPlaces2.info;AbandonedPlaces2_v2.0.lha
ABCMondayNightFBNTSC.slave;ABCMondayNightFBNTSC;Sport / American Football;ABC Monday Night Football (NTSC);ABC Mon' N'gt F'ball US;ABCMondayNightFBNTSC.info;ABCMondayNightFootball_v1.01_NTSC_1495.lha
Abracadabra.Slave;AbraCadabra;Adventure / Graphic;Abra Cadabra;Abra Cadabra;Abracadabra.info;Abracadabra_v1.1_2451.lha
AbsenceOfLight.Slave;AbsenceOfLight;Demo / Music Disk;Absence Of Light (Animators);Absence Of Light;AbsenceOfLight.info;AbsenceOfLight_v1.0_Animators.lha
AbsoluteInebriation.Slave;AbsoluteInebriation;Demo;Absolute Inebriation (Fairlight Virtual Dreams);Absolute Inebriation;AbsoluteInebriation.info;AbsoluteInebriation_v1.2_Fairlight&VirtualDreams.lha
AbsoluteSwedish.slave;AbsoluteSwedish;Demo / Music Disk;Absolute Swedish (Phew Productions);Absolute Swedish;AbsoluteSwedish.info;AbsoluteSwedish_v1.01_PhewProductions.lha
AbuSimbelProfAGA.Slave;AbuSimbelProfAGA;Platform / Action;Abu Simbel Profanation (Beta) (AGA);Abu Simbel Prof. AAß;AbuSimbelProfAGA.info;AbuSimbelProfanation_v1.0_AGA.lha
AbuSimbelProfAGAEs.Slave;AbuSimbelProfAGAEs;Platform / Action;Abu Simbel Profanation (Beta) (AGA) (Spanish);Abu Simbel Prof. AAßEs;AbuSimbelProfAGAEs.info;AbuSimbelProfanation_v1.0_AGA_Es.lha
Academy.slave;Academy;Action / Shooter / 3D;Academy - Tau Ceti II;Academy - Tau Ceti II;Academy.info;Academy_v1.2_2943.lha
AceBallAGAPl.Slave;AceBallAGAPl;Bat & Ball / 3D;Ace Ball (AGA) (Polish);Ace Ball AAPl;AceBallAGAPl.info;AceBall_v1.0_Pl_AGA.lha
AceBallPl.Slave;AceBallPl;Bat & Ball / 3D;Ace Ball (Polish);Ace Ball Pl;AceBallPl.info;AceBall_v1.0_Pl.lha
AcidInTheHouse.Slave;AcidInTheHouse;Demo / Music Disk;Acid In The House (North Star & Silents);Acid In The House;AcidInTheHouse.info;AcidInTheHouse_v1.0_NorthStar&Silents.lha
Acme1991Slideshow.Slave;Acme1991Slideshow;Demo / Slideshow;Acme 1991 Slideshow (Acme);Acme 1991 Slideshow;Acme1991Slideshow.info;Acme1991Slideshow_v1.0_Acme.lha
AcousticSilence.Slave;AcousticSilence;Demo / Music Disk;Acoustic Silence (Quadriga);Acoustic Silence;AcousticSilence.info;AcousticSilence_v1.0_Quadriga.lha
ActionFighter.slave;ActionFighter;Action / Shooter / Vehicle;Action Fighter;Action Fighter;ActionFighter.info;ActionFighter_v1.3.1_1243.lha
ActionService.slave;ActionService;Action / Shooter / Horizontal;Action Service;Action Service;ActionService.info;ActionService_v1.0_1950.lha
AddamsFamily.Slave;AddamsFamily;Platform / Action;Addams Family (Beta);Addams Family ß;AddamsFamily.info;AddamsFamily_v1.4_BETA_0419.lha
AddamsFamily.Slave;AddamsFamily;Platform / Action;Addams Family, The;Addams Family;AddamsFamily.info;AddamsFamily_v1.3_0419.lha
AdidasChampFootballFiles.slave;AdidasChampFootballFiles;Sport / Football / Soccer;Adidas Championship Football (Files);Adidas Champ Footy Files;AdidasChampFootballFiles.info;AdidasChampionshipFootball_v1.1_Files.lha
AdidasChampFootballImage.slave;AdidasChampFootballImage;Sport / Football / Soccer;Adidas Championship Football (Image);Adidas Champ Footy Image;AdidasChampFootballImage.info;AdidasChampionshipFootball_v1.1_Image.lha
TieBreak.slave;TieBreak;Sport / Tennis;Adidas Tie Break;Adidas Tie Break;TieBreak.info;TieBreak_v1.1_2637.lha
Adrenalynn.Slave;Adrenalynn;Sport / Futuristic;Adrenalynn;Adrenalynn;Adrenalynn.info;Adrenalynn_v1.1a.lha
AdvancedDestroyerSim.Slave;AdvancedDestroyerSim;Simulator / Boat;Advanced Destroyer Simulator;Adv Destroyer Simulator;AdvancedDestroyerSim.info;AdvancedDestroyerSimulator_v1.0_2151.lha
AdvFruitMachineSim.slave;AdvFruitMachineSim;Gambling / Fruit Machine;Advanced Fruit Machine Simulator;Adv. Fruit Machine Sim.;AdvFruitMachineSim.info;AdvancedFruitMachineSimulator_v1.1_0622.lha
AdvancedSkiSimulator.slave;AdvancedSkiSimulator;Sport / Winter;Advanced Ski Simulator;Advanced Ski Simulator;AdvancedSkiSimulator.info;AdvancedSkiSimulator_v2.1_0094.lha
AdvantageTennis.slave;AdvantageTennis;Sport / Tennis;Advantage Tennis;Advantage Tennis;AdvantageTennis.info;AdvantageTennis_v2.1_2261.lha
AdvConstructionSetNTSC.slave;AdvConstructionSetNTSC;Misc / Game Creator;Adventure Construction Set (NTSC);Adventure Const. Set US;AdvConstructionSetNTSC.info;AdventureConstructionSet_v1.1_NTSC_0904.lha
AdventuresOfGenlockHolmes.Slave;AdventuresOfGenlockHolmes;Adventure / Puzzle;Adventures of Genlock Holmes, The;Adv of Genlock Holmes;AdventuresOfGenlockHolmes.info;AdventuresOfGenlockHolmes_v1.0.lha
AdventuresOfQuik&Silva.Slave;AdventuresOfQuik&Silva;Platform / Action;Adventures of Quik & Silva, The;Adventures Quik & Silva;AdventuresOfQuik&Silva.info;AdventuresOfQuik&Silva_v1.1.lha
